loanee_id,name,age,gender,amount_borrowed,date_borrowed,expected_repayment_date,date_repaid,amount_to_be_repaid,employment_status,income,credit_score,loan_purpose,loan_type,interest_rate,loan_term,address,city,state,zip_code,country,email,phone_number,marital_status,dependents,education_level,employer,job_title,years_employed
11,Randall Johnson,21,Male,94988.11,2023-12-29,2025-08-25,"2025-08-25-22 days, 0:00:00",106386.68,Unemployed,32067.15,788,Home,Unsecured,0.12,17,"2699 Howard Locks, Shannonchester, TX 31094",South Jorge,KY,04787,USA,psmith@example.net,803.299.8796x65911,Married,0,High School,"Hunt, Sutton and Bauer",Industrial/product designer,12
12,Deanna Chapman,21,Female,88035.79,2023-05-17,2027-09-14,"2027-09-14-9 days, 0:00:00",100360.8,Self-employed,38170.31,643,Business,Unsecured,0.14,42,"90797 Lindsey Mountain, Ericksonfort, MS 92941",New Jennifer,SC,21609,USA,cassandramarks@example.com,279-599-4525,Widowed,4,Bachelor,"Smith, Moreno and Moore",Museum/gallery exhibitions officer,1
13,Mindy Rodriguez,36,Female,64884.61,2023-08-04,2028-09-08,"2028-09-0813 days, 0:00:00",75914.99,Self-employed,43814.02,525,Business,Unsecured,0.17,54,"497 Danielle Cove, Jenniferburgh, GA 58723",Port Angelaville,OH,97625,USA,susansmith@example.com,479.230.2175x858,Married,1,High School,Kemp-Keith,"Social research officer, government",8
14,Pamela Adams,56,Female,35660.95,2023-05-14,2026-10-19,,42436.53,Self-employed,32330.18,757,Business,Unsecured,0.19,31,"283 Brown Burg, Lake Allenchester, NH 84721",New Spencerstad,MT,27620,USA,spatel@example.net,905.984.4525x057,Single,4,Doctorate,"Campbell, Sanchez and Smith",Teaching laboratory technician,13
15,Christine Miller,39,Female,18574.64,2023-07-06,2028-11-07,"2028-11-0723 days, 0:00:00",22103.822,Self-employed,35241.58,825,Business,Unsecured,0.19,56,"144 Abigail Flats, Johnsonfort, CT 86584",North Jill,WV,14046,USA,martinezbrittany@example.com,470.266.7937x2927,Widowed,1,High School,Bright-Knight,Bonds trader,11
16,Kayla Larsen,64,Female,86724.84,2023-04-06,2026-12-18,"2026-12-1815 days, 0:00:00",96264.57,Unemployed,24183.88,562,Education,Unsecured,0.11,33,"524 Schwartz Trail Suite 508, Lake Christinetown, IL 39258",South Brandon,ID,28849,USA,jamesmoss@example.org,(950)306-1745,Divorced,0,High School,"Clark, Medina and Mann",Communications engineer,8
17,Scott Johnson,52,Female,58800.05,2023-08-15,2027-10-14,,67032.055,Self-employed,37061.63,596,Education,Unsecured,0.14,43,"4646 Warren Rapids Apt. 767, Walkerside, NY 32689",Lake Chad,NH,16444,USA,abigailware@example.org,687.374.2937x16402,Married,3,Bachelor,Gibson Inc,"Pharmacist, hospital",16
18,Madison Richardson,37,Female,40119.14,2023-04-28,2027-10-14,"2027-10-146 days, 0:00:00",44532.246,Unemployed,84256.76,840,Personal,Unsecured,0.11,43,"2908 Robert Grove Apt. 966, Hicksstad, OH 20884",Lake Mariamouth,AL,61744,USA,amandamartin@example.com,470-901-4045x608,Widowed,4,Master,"Walker, Keller and Miller",Facilities manager,8
19,Clarence Harding,42,Male,5198.4,2023-11-23,2027-06-16,"2027-06-16-25 days, 0:00:00",6186.096,Employed,98490.81,773,Personal,Unsecured,0.19,39,"Unit 5024 Box 3545, DPO AA 68733",Lopezmouth,GA,23390,USA,beckrobert@example.com,+1-537-992-3161x247,Widowed,1,Bachelor,Lopez-West,Learning mentor,6
20,Daniel Scott,48,Female,52722.34,2023-04-15,2027-04-17,"2027-04-177 days, 0:00:00",62212.36,Unemployed,92063.08,709,Business,Unsecured,0.18,37,"607 Johnson Mill Apt. 893, New Michaelton, TX 55152",Robertfort,MH,03398,USA,kirbyrobert@example.org,731.231.5851x57940,Single,5,Doctorate,Smith and Sons,Fashion designer,5
21,Kimberly Miller,46,Female,26149.51,2023-10-14,2025-07-26,,30071.936,Unemployed,64558.17,785,Personal,Unsecured,0.15,16,"Unit 4697 Box 1000, DPO AP 09909",West Blake,OR,56373,USA,douglasolson@example.net,379.944.8651x2763,Widowed,5,Doctorate,Thompson-Jones,"Psychologist, clinical",2
22,Monica Stanley,23,Male,41862.6,2023-06-23,2027-01-17,"2027-01-1724 days, 0:00:00",48979.242,Unemployed,90302.71,567,Business,Unsecured,0.17,34,"71516 Day Pike, Bellstad, UT 87903",Amyport,VA,65706,USA,bishopscott@example.net,452.625.6744x44409,Divorced,0,Bachelor,Castillo-Mora,"Producer, radio",8
23,Adam Paul,51,Female,71310.51,2023-09-22,2029-03-07,"2029-03-0724 days, 0:00:00",83433.3,Employed,54420.51,715,Education,Secured,0.17,60,"76819 Smith Terrace, Johnsonport, VA 82956",Lake Robert,MH,85216,USA,jessesmith@example.org,732.756.1876x9266,Divorced,5,High School,"Rowe, Dennis and Davis",Nutritional therapist,8
24,Keith Parks,41,Female,6903.13,2024-03-18,2025-03-28,"2025-03-2830 days, 0:00:00",7731.5054,Employed,86074.71,805,Home,Unsecured,0.12,12,"942 Arthur Forge Suite 181, Jessicamouth, IL 28558",New Dianaville,MT,89889,USA,devon03@example.org,846-246-5691x6082,Married,5,Doctorate,Graham-Wood,Volunteer coordinator,14
25,Francisco Horn,62,Female,2290.22,2023-09-26,2025-05-27,"2025-05-2715 days, 0:00:00",2679.5574,Employed,64650.23,666,Personal,Unsecured,0.17,14,"905 Jose Meadow Apt. 245, South Steve, AK 33735",Millsshire,OR,73750,USA,rbuchanan@example.com,756.303.1961x04791,Married,4,Bachelor,"Bell, Figueroa and Anthony",Recruitment consultant,11
26,Nancy Kaiser,65,Male,84695.39,2023-09-18,2026-01-22,"2026-01-2214 days, 0:00:00",94858.836,Employed,70109.82,713,Personal,Secured,0.12,22,"58869 Morrison River, Buchananmouth, GA 71300",West Catherine,NC,80159,USA,shannondougherty@example.net,(490)396-6029,Widowed,3,Master,Brown and Sons,Quarry manager,16
27,Latoya Arnold,57,Female,62017.29,2023-07-19,2027-02-16,,71319.88,Self-employed,35879.02,601,Home,Secured,0.15,35,"055 Angela Valleys, North Jeffreyfort, MS 68829",New Paul,PA,76108,USA,bryananthony@example.com,754-425-2681x3154,Widowed,3,Bachelor,"Williams, Perez and Campos","Geologist, engineering",2
28,Allen Becker,43,Male,58001.01,2024-01-02,2029-02-05,"2029-02-0527 days, 0:00:00",69021.2,Self-employed,23666.75,733,Business,Secured,0.19,59,"20357 Destiny Rue, New Rhonda, AZ 82342",Brooksstad,PR,54578,USA,keith65@example.org,674-680-8271,Married,4,Doctorate,"Palmer, Gonzalez and Tran",Phytotherapist,0
29,James Moore,54,Male,91213.64,2024-01-09,2029-01-06,"2029-01-06-15 days, 0:00:00",103071.414,Self-employed,70175.48,775,Home,Secured,0.13,58,"479 Knox Valley Apt. 476, Harrisonhaven, TN 94729",Nicoleland,KY,13078,USA,smithjennifer@example.com,(745)212-1009,Married,3,Master,Myers LLC,"Designer, industrial/product",10
30,Katelyn Gonzalez,22,Female,58484.95,2023-06-25,2027-06-16,"2027-06-16-27 days, 0:00:00",66672.84,Self-employed,66142.1,505,Education,Unsecured,0.14,39,"0998 Peck Lodge, East Josephberg, NY 67640",North William,WV,93433,USA,travisfigueroa@example.net,598-647-3127x8785,Single,0,Bachelor,Thompson Ltd,Claims inspector/assessor,20
31,Rebecca Cook,29,Male,18979.41,2023-05-19,2028-04-11,"2028-04-11-11 days, 0:00:00",22395.703,Employed,66689.9,683,Personal,Secured,0.18,49,"409 Melissa Prairie, Brownmouth, UT 31844",Lake Kristiland,AZ,98539,USA,eric21@example.net,6863287668,Divorced,0,Bachelor,Raymond Inc,Insurance risk surveyor,16
32,Steven Parsons,18,Male,87599.42,2023-11-27,2027-01-17,"2027-01-17-12 days, 0:00:00",105119.305,Employed,30236.31,789,Home,Secured,0.2,34,"39027 Jane Gardens Suite 243, Bellborough, SC 37087",North Rose,RI,34562,USA,nicolaslewis@example.com,626-857-9455x540,Single,2,Bachelor,"Carroll, Campbell and Sherman",Learning disability nurse,18
33,Lori Miller,37,Female,44588.71,2023-05-28,2028-02-11,"2028-02-1129 days, 0:00:00",50831.13,Employed,73300.73,649,Home,Unsecured,0.14,47,"257 Lisa Landing, South John, SC 25844",Victorstad,HI,30030,USA,goodwinryan@example.org,322-706-6141x88742,Married,3,High School,"Flynn, Bray and Martin",Dancer,16
34,Joe Odonnell,46,Female,85292.1,2023-05-10,2026-03-23,"2026-03-2330 days, 0:00:00",97232.99,Self-employed,60912.68,504,Home,Unsecured,0.14,24,"71868 Becky Road Suite 712, New Andrew, GU 28638",West Raymondtown,MH,10308,USA,stacymartinez@example.com,(835)737-2903x266,Divorced,4,High School,"Gross, Frederick and Waller",Insurance underwriter,16
35,Katrina Nelson,41,Female,68052.45,2023-11-10,2028-03-12,"2028-03-12-28 days, 0:00:00",75538.22,Self-employed,26414.98,611,Business,Secured,0.11,48,"329 April Mill Apt. 946, South John, MI 98272",Andrewsport,MH,13017,USA,jameswalters@example.com,001-663-745-3890x791,Single,2,Bachelor,Norris-Mckinney,"Civil engineer, consulting",8
36,Donald Mccoy,55,Female,82628.92,2023-08-09,2026-09-19,"2026-09-1929 days, 0:00:00",94196.97,Employed,33854.88,553,Business,Secured,0.14,30,"88169 Bennett Hills Apt. 166, Haleymouth, NH 54469",Carlsonport,OR,12889,USA,brogers@example.org,001-667-549-8260,Single,1,Doctorate,"Thomas, Francis and Berry",Architectural technologist,0
37,Anna Foster,47,Male,53836.56,2023-11-17,2027-09-14,"2027-09-14-13 days, 0:00:00",60835.312,Self-employed,55074.39,606,Business,Unsecured,0.13,42,"2287 Eric Mission Apt. 973, Rhondatown, SD 74125",Youngfurt,AL,78226,USA,mmcgee@example.com,875-620-0441x3715,Single,4,High School,"Chen, Adams and Gardner","Radiographer, diagnostic",4
38,Amy Hancock,63,Female,71541.2,2023-11-20,2028-09-08,"2028-09-08-18 days, 0:00:00",79410.734,Employed,65352.82,596,Personal,Secured,0.11,54,"67051 Conrad Dam, Freemanmouth, KY 05428",Bookerhaven,AS,65074,USA,stephencook@example.net,649.998.3356,Divorced,0,Bachelor,Stone LLC,Electronics engineer,8
39,Tiffany Mejia,49,Female,60163.38,2023-04-24,2026-04-22,"2026-04-2216 days, 0:00:00",69789.52,Self-employed,53493.83,729,Personal,Unsecured,0.16,25,"11661 Teresa Springs Suite 425, New Douglas, UT 15154",Port Richardfort,KS,69931,USA,bauercraig@example.org,(431)778-2445,Divorced,1,Doctorate,"Washington, Smith and Harmon",Counselling psychologist,8
40,Tiffany Price,53,Female,61838.54,2023-08-19,2025-11-23,"2025-11-2326 days, 0:00:00",71732.7,Unemployed,84465.5,677,Business,Unsecured,0.16,20,"USCGC Hernandez, FPO AA 75616",Gomezchester,NV,76093,USA,julie37@example.com,949.956.1632x699,Widowed,0,Bachelor,"Thornton, Grant and Good",Agricultural engineer,4
41,Christian Donaldson,32,Female,17571.06,2024-02-29,2028-09-08,"2028-09-08-2 days, 0:00:00",20031.008,Employed,72850.99,645,Personal,Secured,0.14,54,"405 Ashley Mall Suite 368, Guzmanside, NH 81553",Burkeborough,SD,95837,USA,cassandra55@example.com,783.548.3322x96025,Single,3,High School,Black-Murphy,"Surveyor, rural practice",19
42,Tammy Brown,45,Male,6207.46,2023-04-12,2026-11-18,"2026-11-184 days, 0:00:00",7076.5044,Unemployed,24613.05,725,Personal,Unsecured,0.14,32,"1024 John Lock Apt. 392, New Martinchester, GA 37867",South Gregoryhaven,AZ,11695,USA,vanessabecker@example.net,207.504.9912x55008,Married,5,Master,Garcia Group,Advertising account executive,6
43,Alicia Haynes,46,Female,44957.77,2023-12-02,2027-01-17,"2027-01-1714 days, 0:00:00",51251.86,Self-employed,51664.24,740,Business,Secured,0.14,34,"8045 Logan Meadow Suite 319, Stevenborough, AL 73218",Campbellport,MO,94618,USA,mary53@example.org,792.521.5099x8689,Single,5,Bachelor,Martinez Ltd,Artist,8
44,Suzanne Thomas,61,Male,96620.3,2023-07-03,2025-04-27,,112079.55,Unemployed,60744.12,553,Personal,Unsecured,0.16,13,"5765 Robert Locks Suite 613, Kristinaport, MO 05456",East Scottton,WV,36856,USA,ponceseth@example.org,763-556-8785x708,Divorced,0,Doctorate,"Allen, Davidson and Mullins",Occupational hygienist,5
45,Monica Jones,34,Female,60631.82,2023-09-19,2027-11-13,"2027-11-13-25 days, 0:00:00",67907.64,Self-employed,25221.24,687,Business,Secured,0.12,44,"5291 Daniel Parkways Apt. 600, Lake Suzanne, VA 84725",West Justinhaven,VT,23154,USA,nichole44@example.net,208-611-6073x0632,Widowed,1,Doctorate,"Anderson, Copeland and Ward","Accountant, chartered",10
46,John Ward,25,Female,8537.72,2024-03-25,2025-06-26,,9989.133,Unemployed,21519.41,571,Business,Secured,0.17,15,"USNV Brown, FPO AP 57032",East Markfurt,OK,64011,USA,christian49@example.org,840.967.4838x04643,Divorced,3,Master,Bishop-Alvarado,IT sales professional,6
47,Kelly Martinez,33,Male,35819.41,2023-09-20,2026-01-22,"2026-01-2212 days, 0:00:00",41550.516,Unemployed,88634.9,522,Personal,Unsecured,0.16,22,"487 Weaver Mills Apt. 150, West Pamela, SD 33311",East Mitchellview,FM,27709,USA,jbrady@example.com,846.331.1752x794,Single,0,Bachelor,Strickland and Sons,Pensions consultant,1
48,Kevin Woodard,42,Female,30976.52,2023-08-12,2026-01-22,"2026-01-226 days, 0:00:00",34693.703,Self-employed,45124.35,623,Education,Unsecured,0.12,22,"9000 Patricia Ridge, South Karlmouth, IA 51832",Yoderburgh,TX,28253,USA,ivasquez@example.org,292.702.4333x072,Single,2,Doctorate,Bass-Bailey,Make,16
49,Matthew Hicks,23,Male,79690.51,2023-10-26,2028-04-11,,94831.7,Unemployed,88895.5,642,Personal,Unsecured,0.19,49,"581 Brian Ranch, North Matthewport, MP 98055",Matthewville,WY,62818,USA,williamsvictoria@example.com,+1-348-775-8842x4759,Single,5,Master,"Nelson, Davis and Lopez",Environmental manager,15
50,John Herrera,28,Female,43500.95,2023-12-23,2026-05-22,"2026-05-22-24 days, 0:00:00",51331.12,Self-employed,64788.68,627,Home,Secured,0.18,26,"536 Baker Plains, Lake Colton, WA 54266",North Kevinshire,KY,65720,USA,joseph05@example.org,+1-394-295-4970,Married,2,High School,Taylor Group,Clinical molecular geneticist,17
51,Deborah Medina,28,Female,92824.73,2023-06-25,2028-05-11,,109533.18,Self-employed,97875.13,823,Education,Secured,0.18,50,"4829 Amanda Meadows, Justinburgh, NC 96810",Joanneport,CT,97733,USA,andrewsvanessa@example.net,+1-702-738-6376x809,Single,2,Bachelor,"Hubbard, Barr and Bradley",Exhibition designer,4
52,Brandi Morris,27,Male,35115.7,2023-05-21,2026-07-21,"2026-07-212 days, 0:00:00",38978.426,Employed,25510.44,816,Business,Unsecured,0.11,28,"PSC 9453, Box 1384, APO AA 59100",Lake Jasonstad,TN,40525,USA,mcdanielsarah@example.net,001-585-444-5671x488,Married,2,Master,Warren-Thompson,Soil scientist,6
53,Lindsay Turner,57,Female,80823.14,2024-02-10,2027-02-16,"2027-02-1624 days, 0:00:00",89713.69,Employed,45038.12,518,Home,Secured,0.11,35,"27355 Eileen Fort Suite 550, Jocelynmouth, LA 85616",New Michaeltown,MI,07034,USA,nwong@example.org,(247)853-2994x10043,Married,3,Doctorate,Hall-Butler,Cabin crew,1
54,Joshua Howard,65,Female,59870.64,2023-12-10,2028-10-08,"2028-10-083 days, 0:00:00",67653.82,Self-employed,73033.72,501,Business,Unsecured,0.13,55,"764 Wood Locks, Martinezshire, OK 88008",Taylorshire,NY,44832,USA,martinjesse@example.com,(361)569-6090x9482,Divorced,5,Bachelor,"Mejia, Marquez and Bell","Producer, radio",2
55,Denise Tucker,44,Male,23664.84,2023-11-10,2027-02-16,"2027-02-1623 days, 0:00:00",28161.16,Self-employed,75384.2,849,Business,Unsecured,0.19,35,"9020 Laura Port, West Linda, IL 28758",Heathershire,ID,28297,USA,amandawoods@example.com,001-829-417-8351x41542,Single,5,Master,Ford Ltd,Financial planner,2
56,Isabel Cole,54,Female,91793.7,2024-03-01,2028-02-11,"2028-02-116 days, 0:00:00",107398.63,Unemployed,52964.65,521,Personal,Unsecured,0.17,47,"33595 Scott Valley, West Maryfort, MO 44610",Coopermouth,AZ,10212,USA,lyonsjulia@example.org,001-650-837-4322,Widowed,2,Bachelor,Davis LLC,Dentist,19
57,Erika Garrison,55,Male,69192.8,2023-07-13,2026-12-18,"2026-12-18-27 days, 0:00:00",80955.58,Employed,69682.22,711,Education,Secured,0.17,33,"50197 Gaines Forks Apt. 788, West Richardburgh, WA 99287",Millerfurt,CA,85076,USA,cwhite@example.org,660.526.1854,Single,1,Doctorate,"Strong, Gibson and Henson",Ecologist,13
58,Mr. Antonio Hardin Jr.,53,Male,20475.42,2024-01-15,2026-05-22,"2026-05-22-18 days, 0:00:00",23546.732,Self-employed,53198.44,788,Personal,Secured,0.15,26,"734 Jack Place, North John, AR 09700",Johnsonborough,SC,02361,USA,duncanwilliam@example.com,8237386827,Divorced,1,Master,"Cardenas, Pacheco and Elliott",Occupational hygienist,8
59,David Carr,21,Male,88780.4,2023-11-16,2026-07-21,"2026-07-21-5 days, 0:00:00",105648.68,Unemployed,37708.32,534,Business,Secured,0.19,28,"93458 Burns Route, Duncanberg, TN 42436",Port Christopherland,ID,25819,USA,susan86@example.com,758.655.8829x8044,Divorced,0,High School,Long-Weber,Herpetologist,13
60,Mary Becker,63,Female,49103.79,2023-12-30,2028-10-08,"2028-10-0820 days, 0:00:00",56960.395,Self-employed,20375.23,770,Personal,Unsecured,0.16,55,"613 Howard Tunnel Apt. 647, New Lindseyshire, ID 42854",Carrollfort,MI,50570,USA,anthony74@example.org,001-805-670-4975,Single,3,High School,Melendez and Sons,"Surveyor, planning and development",10
61,Steven Smith,19,Male,65362.05,2023-08-30,2026-11-18,"2026-11-183 days, 0:00:00",72551.875,Self-employed,35407.3,508,Education,Unsecured,0.11,32,"USNS Garcia, FPO AA 40100",Stuartport,DC,09732,USA,craigregina@example.com,(470)601-9677x89104,Single,1,Master,Green Inc,"Conservation officer, historic buildings",9
62,Erin Carlson,63,Female,76702.38,2023-12-19,2026-12-18,,85906.664,Unemployed,40793.02,765,Personal,Unsecured,0.12,33,"68609 Orr Lock, Maldonadofort, NV 02868",Janiceport,GU,22331,USA,charles33@example.org,+1-657-422-4601,Divorced,2,Bachelor,"Smith, Hobbs and Garrett",Information officer,19
63,Erica Harrison,34,Female,62396.14,2023-05-30,2026-03-23,"2026-03-2314 days, 0:00:00",72379.52,Unemployed,99862.85,774,Home,Secured,0.16,24,"3444 Elizabeth Green Suite 462, Kennedychester, MP 24329",Port Margaret,HI,17718,USA,david30@example.net,001-959-751-1346x458,Married,2,Bachelor,Carr-Hernandez,Sports therapist,9
64,Daniel Dodson,48,Male,44572.54,2023-05-30,2027-12-13,,52149.87,Unemployed,32100.55,685,Business,Secured,0.17,45,"28133 Jennifer Trafficway, Haleborough, ND 47617",Lake Rebeccaberg,PW,92249,USA,leetimothy@example.org,001-707-659-8572x25474,Divorced,2,Master,"Jones, Ramos and Hall",Contractor,19
65,Angela Walker,57,Female,28619.45,2023-04-08,2026-06-21,,32339.979,Employed,27107.28,633,Education,Secured,0.13,27,"0676 Amy Courts, Susanview, IL 76594",Jesusburgh,MO,88750,USA,khawkins@example.net,(226)783-2171,Single,5,Bachelor,"Burch, Dennis and Lopez",Town planner,10
66,Edward Chapman,33,Female,25838.18,2023-05-02,2025-09-24,"2025-09-24-21 days, 0:00:00",31005.816,Unemployed,94939.03,754,Home,Secured,0.2,18,"47285 Dorsey Brook Suite 468, South Charleshaven, PW 44962",New Timothy,DE,96352,USA,alex37@example.net,(592)838-8503,Married,4,Master,Spencer-Hall,TEFL teacher,5
67,Lisa Downs,32,Female,62459.5,2023-08-18,2026-04-22,"2026-04-22-9 days, 0:00:00",71203.83,Unemployed,59761.7,782,Education,Secured,0.14,25,"9409 Joseph Crest, Hollyfort, ID 89553",Jacksonside,MN,96223,USA,christymejia@example.org,001-811-398-6157x375,Widowed,3,Master,Henderson-Ellis,Advice worker,7
68,Sarah Mullen,39,Female,54243.45,2023-07-06,2028-12-07,,63464.836,Self-employed,50894.27,549,Education,Secured,0.17,57,"4471 Timothy Mission, North Rachel, NE 77849",Connieberg,NM,32878,USA,geraldvargas@example.org,311-850-3490,Married,2,Bachelor,Bryant-Rhodes,Barrister,14
69,Curtis Hooper,27,Male,58552.77,2023-06-22,2028-10-08,,69677.8,Employed,72406.38,503,Business,Secured,0.19,55,"85435 Lisa Plain, Pearsonberg, AL 23942",East Brettstad,NH,24293,USA,rcase@example.com,(970)652-1781x7212,Single,4,Doctorate,"Marshall, Blake and Anderson",Gaffer,5
70,Anna Powell,26,Male,53071.17,2023-11-21,2027-04-17,,61031.844,Self-employed,52866.4,779,Home,Unsecured,0.15,37,"551 John Cliffs, North Nancy, UT 57146",South Daniel,OH,52451,USA,goodmanjean@example.org,461.946.8445,Divorced,5,Doctorate,"Rodriguez, Johnson and Chang",Company secretary,7
71,Joseph Jordan,36,Male,5401.08,2023-10-14,2025-07-26,"2025-07-26-16 days, 0:00:00",6049.2095,Unemployed,82225.87,578,Education,Secured,0.12,16,"21818 Jennifer Centers Apt. 412, Lake Davidstad, PA 02660",Port Dylan,VI,64895,USA,nmccann@example.org,713-201-7869,Married,0,Bachelor,Jones Inc,Curator,12
72,Christopher Hughes,60,Female,8015.44,2023-04-10,2027-09-14,,8816.984,Employed,52684.31,827,Home,Secured,0.1,42,"28793 Dillon Streets Apt. 490, South Crystalshire, WI 72233",East Bobby,GU,45333,USA,raymond96@example.org,404-713-1712x9529,Widowed,1,Master,"Estrada, Ashley and Wilson",Medical secretary,15
73,Daniel Andrews,57,Male,51449.81,2024-02-28,2027-04-17,,60710.777,Unemployed,75451.37,710,Business,Unsecured,0.18,37,"4470 Connie Port Suite 202, Shannonfurt, PW 08878",West Monica,NV,46041,USA,uherrera@example.net,(521)606-1069x6852,Widowed,1,Doctorate,"Mack, Church and Brown","Engineer, mining",2
74,Lucas Solomon,49,Female,6365.88,2023-12-28,2028-05-11,"2028-05-1121 days, 0:00:00",7257.103,Self-employed,45129.84,558,Personal,Unsecured,0.14,50,"2220 Rachel Village Apt. 164, West Christopher, MP 97247",Claytonstad,SC,91252,USA,greenaaron@example.net,(886)452-1484,Single,1,Master,Strickland-Stephens,"Programmer, multimedia",17
75,Angela Howard,52,Male,80282.59,2023-05-29,2026-11-18,,93930.63,Self-employed,44738.71,827,Personal,Unsecured,0.17,32,"6748 Boyd Prairie Apt. 709, Jacksonton, LA 01221",North Robert,IN,34871,USA,james47@example.org,782-561-6323x419,Divorced,1,Doctorate,"Morales, Holt and Green",Occupational psychologist,7
76,Eric Poole,46,Female,8544.07,2023-08-15,2025-10-24,,9996.562,Unemployed,62670.29,829,Education,Secured,0.17,19,"90740 Jose Curve Apt. 795, Crawfordton, MD 29304",East Christopher,ID,70854,USA,duncannina@example.com,001-224-747-9949x57890,Single,1,High School,Thompson Group,English as a second language teacher,4
77,Patricia Herring,30,Female,84985.39,2023-09-05,2027-12-13,"2027-12-1328 days, 0:00:00",100282.76,Unemployed,66141.14,663,Personal,Unsecured,0.18,45,"5275 Copeland Meadow, North Jason, ID 36756",Adamsmouth,ME,33540,USA,anne97@example.org,219.419.9943,Married,3,Master,"Powell, Cameron and Jackson",Human resources officer,3
78,Deborah Lee,19,Female,6090.5,2023-12-25,2028-01-12,"2028-01-12-1 day, 0:00:00",7247.695,Employed,31122.08,732,Home,Secured,0.19,46,"758 Peters Estate, South Calvin, HI 11382",Port Ronaldbury,NY,57242,USA,vanessakelley@example.net,001-479-804-6616x400,Single,1,Bachelor,Adams Ltd,Dramatherapist,11
79,Mary Meyer,34,Male,93094.22,2023-06-10,2027-11-13,"2027-11-134 days, 0:00:00",105196.47,Employed,44166.65,558,Education,Secured,0.13,44,"PSC 4097, Box 7752, APO AA 44848",West Brendanborough,DC,58357,USA,tracy52@example.com,(500)418-5168x125,Married,5,Master,Taylor Ltd,Primary school teacher,0
